Commodity,Year,Month,Price per Quintal
Wheat,2021,January,2587.5
Wheat,2021,February,2587.5
Wheat,2021,March,2587.5
Wheat,2021,April,2587.5
Wheat,2021,May,2587.5
Wheat,2021,June,2587.5
Wheat,2021,July,2518.5
Wheat,2021,August,2300.0
Wheat,2021,September,2553.0
Wheat,2021,October,2300.0
Wheat,2021,November,2300.0
Wheat,2021,December,2300.0
Wheat,2022,January,2449.5
Wheat,2022,February,2326.565
Wheat,2022,March,2312.42
Wheat,2022,April,2365.205
Wheat,2022,May,2397.29
Wheat,2022,June,2380.73
Wheat,2022,July,2248.595
Maize,2020,January,2272.5
Maize,2020,February,2272.5
Maize,2020,March,2272.5
Maize,2020,April,2272.5
Maize,2020,May,2272.5
Maize,2020,June,2272.5
Maize,2020,July,2272.5
Maize,2020,August,2272.5
Maize,2020,September,2525.0
Maize,2020,October,2525.0
Maize,2020,November,2525.0
Maize,2020,December,2525.0
Maize,2021,January,2525.0
Maize,2021,February,2525.0
Maize,2021,March,2525.0
Maize,2021,April,2525.0
Maize,2021,May,2525.0
Maize,2021,June,2525.0
Maize,2021,July,2454.2999999999997
Maize,2021,August,2222.0
Maize,2021,September,2494.7
Maize,2021,October,2494.7
Maize,2021,November,2525.0
Maize,2021,December,2525.0
Maize,2022,January,2272.5
Maize,2022,February,2360.673
Maize,2022,March,2321.788
Maize,2022,April,2294.6189999999997
Maize,2022,May,2275.631
Maize,2022,June,2262.4
Maize,2022,July,2253.108
Millet,2020,January,2970.0
Millet,2020,February,2917.2
Millet,2020,March,2904.0
Millet,2020,April,2904.0
Millet,2020,May,2904.0
Millet,2020,June,2904.0
Millet,2020,July,3300.0
Millet,2020,August,3300.0
Millet,2020,September,3300.0
Millet,2020,October,3300.0
